USB_V,USB_A,USB_W,Int_Accel,Ext_Accel,Net_Traffic,RF_Density,Sys_Temp,Label
5.048,0.312,1.59,0.1726,0.0864,3.075,-82.2,48.6,No
5.053,0.035,0.167,0.0352,0.024,2.793,-93.7,31.0,No
5.064,0.058,0.298,0.0515,0.0007,2.506,-88.5,41.7,No
4.998,0.522,2.622,0.3199,0.2746,6.791,-67.6,51.3,No
4.993,0.442,2.183,0.2582,0.199,7.726,-60.4,44.7,No
5.029,0.766,3.874,0.8297,0.5485,24.663,-30.0,67.0,No
5.008,1.091,5.46,0.8052,0.7577,40.944,-57.8,53.5,No
5.039,0.071,0.35,0.0086,0.0802,2.632,-96.3,36.3,No
4.909,1.847,9.133,2.6969,2.9022,80.319,-10.3,81.9,Yes
4.995,1.614,8.157,1.921,1.179,51.702,-40.7,76.2,Yes
4.98,0.859,4.37,0.6525,0.6833,26.583,-34.8,65.4,Yes
4.893,2.405,11.65,3.7648,2.8746,75.487,-11.9,93.7,Yes
5.052,0.147,0.755,0.0736,0.0262,2.169,-87.4,38.2,No
5.041,0.247,1.335,0.0654,0.0332,7.077,-70.0,42.2,No
4.927,1.703,8.429,2.4233,3.6184,109.809,-23.7,80.4,Yes
4.965,1.922,9.513,2.3342,1.211,50.326,-35.4,78.5,Yes
4.956,2.504,12.386,2.9471,2.4719,142.936,-15.1,73.4,Yes
4.972,1.542,7.657,2.0241,1.4388,85.521,-37.5,63.5,Yes
4.884,2.11,10.408,2.4038,2.8887,125.575,-19.3,92.0,Yes
4.883,2.673,12.853,3.8004,2.8182,108.302,-32.5,85.7,Yes
5.04,0.426,2.187,0.2328,0.0826,7.266,-75.5,45.6,No
4.917,2.438,11.969,2.5297,3.634,101.902,-14.8,83.6,Yes
4.918,2.227,11.021,3.3673,3.5884,87.079,-19.1,83.1,Yes
5.03,0.176,0.892,0.1188,0.0037,0.733,-80.7,40.3,No
4.951,1.887,9.384,1.5729,2.1035,58.355,-28.3,76.4,Yes
4.99,0.467,2.348,0.3066,0.2503,7.429,-61.8,51.0,No
4.977,1.995,9.901,1.966,1.3851,68.351,-35.9,74.5,Yes
5.026,1.131,5.744,0.7737,0.3469,27.982,-54.9,61.9,Yes
5.044,0.065,0.317,0.1196,0.0697,1.482,-107.5,33.6,No
5.004,0.486,2.452,0.3254,0.2005,6.827,-69.9,53.3,No
4.998,1.97,9.902,2.3132,1.1201,51.467,-19.9,75.1,Yes
5.016,0.458,2.278,0.2363,0.2381,6.817,-64.0,55.0,No
4.868,2.917,14.2,3.8746,3.3,109.964,-15.3,84.7,Yes
5.061,0.099,0.516,0.0056,0.0476,1.913,-91.2,34.9,No
4.992,1.672,8.374,1.596,2.2637,72.792,-46.7,81.3,Yes
4.922,2.51,12.329,2.1562,2.0186,111.616,-12.4,91.1,Yes
5.036,0.091,0.424,0.0921,0.0245,1.666,-98.6,33.4,No
4.889,2.252,11.013,2.3053,4.2471,92.308,-25.3,77.4,Yes
4.92,1.843,8.996,2.0529,3.1533,98.048,-21.2,83.4,Yes
5.059,0.04,0.217,0.018,0.0252,1.96,-97.1,36.4,No
5.06,0.14,0.708,0.1769,0.0482,1.604,-58.3,45.2,No
5.03,0.728,3.666,0.7555,0.8222,15.397,-39.1,65.1,No
5.01,0.465,2.357,0.2995,0.1919,5.83,-61.7,49.5,No
5.048,0.171,0.875,0.1197,0.0355,5.546,-85.8,40.3,No
4.891,2.549,12.425,3.233,3.1993,107.052,-41.0,82.1,Yes
5.056,0.137,0.679,0.0355,0.022,2.318,-90.2,34.0,No
5.04,0.026,0.148,0.0646,0.0729,2.157,-96.3,39.5,No
5.031,1.009,5.125,0.6375,0.4459,33.022,-65.0,66.7,No
5.018,0.55,2.749,0.4784,0.7311,28.297,-61.2,63.6,Yes
5.06,0.142,0.72,0.0263,0.0531,2.012,-88.8,40.7,No
5.007,0.604,2.984,0.3798,0.6798,26.428,-62.6,65.8,Yes
4.849,2.736,13.255,2.6941,3.0432,84.908,-21.5,87.9,Yes
5.054,0.131,0.652,0.0934,0.0468,1.27,-93.8,33.3,No
4.916,1.679,8.118,2.5838,3.7049,131.384,-17.8,83.2,Yes
5.051,0.014,0.075,0.0335,0.0155,2.291,-88.1,38.5,No
5.031,0.161,0.801,0.1204,0.0255,0.5,-74.9,35.1,No
5.009,0.516,2.576,0.3035,0.2588,7.426,-49.2,54.4,No
4.892,2.858,14.038,3.4631,3.4145,88.303,-12.3,80.9,Yes
5.016,0.845,4.156,0.37,0.5055,38.696,-30.0,55.1,Yes
5.04,0.438,2.174,0.2097,0.1598,5.35,-52.5,50.7,No
5.04,0.252,1.26,0.1719,0.1782,7.728,-71.5,45.0,No
4.883,2.679,13.176,3.4551,3.8897,134.119,-25.0,80.5,Yes
5.004,0.453,2.234,0.2719,0.2272,6.974,-55.3,49.9,No
4.932,1.877,9.195,1.9503,3.8464,146.916,-17.6,68.1,Yes
4.877,2.472,12.045,3.5772,3.0499,97.482,-20.2,84.0,Yes
5.036,0.408,2.041,0.1143,0.0442,6.028,-76.1,41.0,No
5.036,0.141,0.709,0.246,0.1319,6.115,-87.1,37.3,No
5.008,0.372,1.859,0.1665,0.0518,5.886,-78.0,39.8,No
4.93,1.482,7.298,1.9893,2.7581,129.508,-24.2,84.7,Yes
5.03,0.548,2.749,0.2642,0.2699,6.232,-50.3,50.4,No
4.909,2.531,12.416,3.1778,2.7195,119.088,-15.6,88.5,Yes
4.901,2.86,13.973,3.3187,4.5368,105.343,-33.5,90.0,Yes
5.031,0.287,1.476,0.1062,0.162,7.363,-72.0,38.7,No
5.035,0.126,0.633,0.0085,0.0214,1.313,-100.2,34.8,No
5.07,0.149,0.74,0.0684,0.007,3.073,-90.9,37.9,No
4.889,2.378,11.387,3.7712,3.9849,132.557,-11.6,88.5,Yes
5.036,0.318,1.663,0.2057,0.0761,5.774,-84.1,38.2,No
4.884,2.07,10.051,2.4665,2.1392,97.038,-8.7,72.9,Yes
4.99,2.096,10.464,1.2207,2.054,66.24,-31.3,62.0,Yes
5.007,0.445,2.253,0.284,0.2332,6.52,-52.5,52.4,No
4.887,1.654,8.23,3.0522,3.0324,118.222,-8.2,74.3,Yes
5.027,0.776,3.818,0.835,0.6239,27.745,-39.4,66.5,Yes
4.879,2.536,12.518,3.1721,2.7977,128.513,-12.1,77.2,Yes
5.045,0.179,0.904,0.0683,0.0555,2.553,-99.8,33.4,No
4.965,1.924,9.63,3.0422,2.4106,135.882,-30.8,84.9,Yes
4.931,1.807,8.827,2.0322,2.277,117.857,-20.5,72.6,Yes
4.903,2.949,14.411,2.9486,2.8645,98.372,-16.8,94.8,Yes
5.058,0.172,0.857,0.1161,0.0633,0.689,-80.1,30.9,No
4.864,2.014,9.617,2.7015,3.0579,113.972,-34.3,74.1,Yes
5.004,0.817,4.09,0.5432,0.5087,21.376,-42.3,66.7,Yes
5.0,0.222,1.144,0.1964,0.1066,6.462,-84.5,38.1,No
4.915,2.2,10.772,2.1423,2.2177,142.191,-17.5,71.7,Yes
5.059,0.15,0.76,0.104,0.0507,1.706,-71.0,33.9,No
4.897,2.869,14.117,3.2358,3.8997,105.476,-22.7,87.3,Yes
5.046,0.109,0.55,0.1139,0.0505,2.74,-84.1,30.0,No
5.037,1.0,5.096,0.5043,0.8386,26.059,-49.8,61.3,Yes
5.001,1.029,5.126,0.3672,0.4568,30.989,-56.7,64.1,No
5.033,1.106,5.539,0.7617,0.4085,35.115,-57.9,62.6,Yes
4.866,2.846,13.92,2.8751,2.6419,76.83,-6.6,83.2,Yes
4.904,2.616,12.797,3.7162,3.8784,79.283,-15.2,92.4,Yes
5.044,0.043,0.204,0.0606,0.0,3.13,-100.3,40.2,No
5.059,0.091,0.464,0.047,0.0034,2.106,-87.1,37.6,No
4.84,2.211,10.618,3.1703,4.4318,82.443,-18.4,94.7,Yes
5.029,0.507,2.548,0.2587,0.2946,7.033,-43.7,51.5,No
5.036,0.029,0.137,0.1063,0.0772,1.575,-98.5,37.3,No
4.973,1.743,8.759,1.3114,2.0254,72.054,-38.0,72.9,Yes
4.93,2.018,10.078,2.5991,3.324,145.485,-12.7,77.5,Yes
5.059,0.01,0.051,0.0595,0.016,2.13,-91.0,39.7,No
5.021,0.618,3.107,0.3784,0.4151,36.533,-55.7,69.8,Yes
4.951,1.633,8.163,2.1832,1.5726,52.899,-30.9,65.7,Yes
4.984,0.878,4.345,0.4678,0.3342,36.473,-49.4,72.0,No
5.028,0.198,1.002,0.236,0.1915,5.181,-80.2,41.3,No
5.04,1.271,6.339,0.7206,0.7298,8.515,-48.6,68.0,Yes
4.996,0.516,2.569,0.2147,0.1703,5.903,-78.1,49.7,No
4.953,1.876,9.338,3.2407,3.3327,100.485,-17.7,80.7,Yes
4.879,2.393,11.787,3.1965,2.5623,100.29,-32.5,89.3,Yes
5.048,0.171,0.888,0.0863,0.0132,2.188,-91.9,34.2,No
4.918,2.025,10.036,2.9245,2.9315,126.289,-18.8,89.8,Yes
5.033,0.132,0.648,0.0422,0.0687,1.172,-87.8,36.4,No
5.004,2.043,10.194,1.3976,1.1553,55.92,-33.4,72.5,Yes
4.923,2.466,12.124,3.5628,2.6254,130.95,-16.6,89.3,Yes
4.991,1.111,5.506,0.4274,0.3868,13.942,-46.9,65.9,Yes
5.064,0.017,0.076,0.0711,0.0073,1.574,-82.9,38.2,No
5.045,0.176,0.899,0.0359,0.0093,2.172,-79.1,38.6,No
5.044,0.126,0.632,0.0662,0.0439,1.809,-101.1,35.0,No
4.964,2.189,10.867,2.2985,3.3258,120.771,-17.7,81.7,Yes
4.992,0.494,2.507,0.2482,0.2287,7.544,-62.2,49.2,No
4.884,2.735,13.218,2.5852,3.9954,108.272,-27.8,78.0,Yes
5.026,0.323,1.644,0.2409,0.1113,1.359,-82.3,36.2,No
5.0,0.352,1.752,0.241,0.0482,2.061,-67.8,41.8,No
4.883,2.732,13.359,2.2045,3.9087,141.724,-22.3,89.3,Yes
5.048,0.071,0.355,0.0635,0.058,2.912,-88.2,39.0,No
5.055,0.362,1.809,0.2416,0.2157,3.239,-72.1,42.0,No
4.968,1.866,9.248,2.2278,1.1974,42.787,-30.7,80.3,Yes
5.057,0.14,0.691,0.046,0.0197,2.131,-75.4,39.9,No
4.978,1.939,9.535,2.2053,1.7278,67.628,-33.4,76.2,Yes
5.027,0.169,0.855,0.1458,0.1456,5.152,-85.1,41.7,No
5.051,0.147,0.736,0.1018,0.0772,1.027,-82.3,31.3,No
4.99,0.411,2.037,0.3141,0.2411,5.609,-58.5,48.5,No
4.886,3.017,14.84,2.8644,4.1132,99.184,-16.6,83.2,Yes
5.06,0.046,0.244,0.1202,0.0579,2.832,-91.1,38.2,No
4.982,1.413,7.114,1.633,1.9505,46.456,-18.0,81.0,Yes
4.909,2.355,11.377,2.3416,4.3413,116.308,-16.8,85.4,Yes
5.007,0.474,2.392,0.2009,0.1956,6.828,-56.3,52.0,No
4.935,2.469,12.162,2.5039,3.8957,129.371,-19.1,86.3,Yes
4.934,2.121,10.461,1.9736,2.1316,145.35,-15.4,83.7,Yes
5.046,0.138,0.684,0.0724,0.0454,2.343,-88.0,33.0,No
4.96,2.189,10.856,2.9681,3.3417,142.418,-19.0,70.6,Yes
4.939,2.331,11.647,1.889,2.0832,108.051,-6.5,83.8,Yes
4.927,2.376,11.709,3.1641,4.2126,86.515,-15.2,87.6,Yes
5.015,0.431,2.082,0.2925,0.2104,5.897,-70.4,49.0,No
4.928,1.888,9.32,2.5827,3.8582,147.977,-25.3,85.6,Yes
5.04,0.332,1.696,0.1314,0.0396,3.04,-67.8,38.8,No
5.046,0.179,0.9,0.099,0.0028,2.637,-93.1,46.4,No
5.048,0.01,0.05,0.1045,0.0781,3.047,-87.7,39.3,No
5.05,0.145,0.736,0.0606,0.0499,1.602,-74.0,43.4,No
4.877,2.312,11.293,3.8704,3.8737,102.332,-23.0,95.0,Yes
4.93,2.401,11.787,3.0072,3.0699,115.422,-20.7,74.1,Yes
5.063,0.434,2.194,0.3343,0.2325,7.605,-66.1,55.0,No
5.035,0.927,4.659,0.5095,0.4611,12.922,-43.6,66.5,No
5.013,0.104,0.523,0.0561,0.2006,4.573,-79.1,47.5,No
4.99,1.072,5.474,0.5085,0.6354,31.446,-42.6,69.4,Yes
5.007,0.497,2.465,0.2022,0.1738,7.748,-57.9,50.9,No
5.046,0.01,0.058,0.1071,0.0295,1.824,-90.9,35.3,No
5.085,0.111,0.56,0.1035,0.0246,1.881,-94.1,44.9,No
4.91,1.628,7.936,1.9117,3.01,122.089,-17.3,84.1,Yes
5.01,0.216,1.084,0.0689,0.1453,1.537,-78.8,44.2,No
5.044,0.103,0.511,0.0346,0.0112,0.595,-98.4,37.6,No
5.012,0.659,3.305,0.4033,0.3758,25.751,-51.3,54.9,No
4.905,3.035,14.938,3.693,2.7476,91.004,-9.5,91.8,Yes
4.976,1.504,7.526,1.2082,1.4979,81.58,-51.1,75.2,Yes
5.033,0.153,0.768,0.0838,0.0792,1.208,-85.4,41.5,No
5.067,0.108,0.555,0.0225,0.0322,2.663,-85.8,40.5,No
5.032,0.194,0.981,0.1757,0.0571,4.07,-88.7,45.4,No
5.056,0.051,0.253,0.0147,0.057,2.856,-100.2,41.7,No
4.84,2.503,11.998,3.0369,3.884,119.508,-14.0,88.6,Yes
4.956,1.887,9.338,1.2878,2.1397,42.48,-22.0,65.1,Yes
5.032,0.421,2.119,0.0632,0.117,4.743,-79.8,38.7,No
4.953,1.487,7.315,2.2996,1.4292,58.675,-56.0,73.0,Yes
5.049,0.348,1.724,0.1718,0.0385,6.428,-70.0,40.4,No
4.882,1.808,8.765,3.5974,4.0014,126.611,5.0,85.5,Yes
4.931,2.991,14.848,2.3844,3.5989,132.878,-13.4,81.6,Yes
5.029,0.047,0.235,0.019,0.0217,1.848,-90.5,42.6,No
5.061,0.042,0.205,0.037,0.0089,2.395,-87.0,36.9,No
4.995,0.467,2.341,0.2773,0.1883,7.508,-71.2,49.7,No
5.041,0.172,0.84,0.0889,0.0166,3.066,-110.0,30.5,No
5.006,0.226,1.108,0.075,0.0669,2.227,-61.7,40.4,No
4.947,1.703,8.39,1.6983,1.7443,73.857,-25.0,73.8,Yes
5.019,0.14,0.664,0.1662,0.1243,4.928,-56.7,48.9,No
5.002,0.455,2.249,0.3328,0.1938,5.881,-74.9,48.5,No
5.05,0.046,0.237,0.0057,0.0268,3.024,-89.3,33.9,No
5.076,0.134,0.656,0.0385,0.1934,4.973,-71.4,35.4,No
4.952,1.722,8.532,1.4641,1.5769,57.6,-40.6,75.0,Yes
4.989,1.239,6.201,0.5361,0.4016,34.519,-36.3,61.2,Yes
4.893,2.014,9.813,2.5429,3.7984,114.401,-12.6,79.0,Yes
4.961,1.65,8.182,1.6474,1.9209,58.168,-30.8,76.1,Yes
4.927,1.754,8.697,2.2318,3.1036,100.678,-21.8,79.5,Yes
4.913,1.63,7.973,2.4167,3.1438,102.658,-16.9,76.3,Yes
5.017,0.669,3.396,0.5476,0.4822,34.568,-30.0,52.0,No
4.858,2.21,10.77,2.6078,2.9404,128.632,-17.3,86.2,Yes
5.054,0.01,0.05,0.0983,0.0273,0.804,-83.5,32.4,No
5.0,0.299,1.506,0.0465,0.1094,6.599,-55.3,42.4,No
5.054,0.084,0.417,0.0802,0.0375,2.572,-110.0,30.3,No
4.944,1.737,8.657,2.5983,3.1479,144.93,-18.1,86.9,Yes
4.943,1.839,9.073,1.9746,2.1448,52.812,-36.6,72.2,Yes
4.942,1.676,8.339,1.9763,1.4069,44.879,-44.4,69.7,Yes
5.003,1.173,5.801,0.4578,0.4945,36.058,-49.9,61.0,Yes
5.082,0.12,0.603,0.1079,0.0548,3.232,-75.8,36.3,No
4.882,2.294,11.166,2.7191,3.0184,117.739,-5.0,93.4,Yes
5.034,0.385,1.95,0.0916,0.1614,6.828,-60.8,46.2,No
4.881,2.103,10.271,2.5895,3.716,109.752,-17.5,77.8,Yes
5.052,0.117,0.595,0.0771,0.0174,3.058,-84.1,38.7,No
5.005,0.286,1.45,0.0642,0.0848,6.182,-65.9,42.3,No
5.036,0.336,1.687,0.0975,0.1064,5.925,-62.1,43.9,No
5.008,0.565,2.876,0.4774,0.5014,29.873,-46.9,61.0,Yes
5.03,0.358,1.76,0.0515,0.0652,6.151,-62.0,43.7,No
5.0,0.164,0.787,0.1562,0.0555,6.965,-63.8,43.2,No
5.084,0.155,0.798,0.1094,0.033,1.316,-82.5,32.6,No
4.985,1.29,6.354,0.5296,0.7708,37.349,-50.1,58.5,No
5.0,0.333,1.669,0.0846,0.0417,4.52,-58.3,47.8,No
5.034,0.097,0.487,0.1037,0.0431,3.025,-84.7,38.1,No
5.024,0.436,2.231,0.1726,0.082,2.437,-74.4,42.7,No
5.073,0.236,1.22,0.2162,0.1929,1.025,-65.8,37.9,No
4.909,2.187,10.668,2.4551,4.4442,104.604,-27.8,86.9,Yes
5.062,0.168,0.87,0.0837,0.0018,1.952,-81.4,32.7,No
5.022,0.648,3.208,0.4976,0.7617,24.429,-47.9,55.4,Yes
5.033,0.031,0.164,0.0281,0.0554,1.815,-103.9,35.1,No
5.05,0.11,0.558,0.0535,0.0633,1.879,-81.3,40.7,No
5.001,0.672,3.489,0.7532,0.6512,13.122,-39.4,67.5,Yes
4.999,0.959,4.754,0.6576,0.7176,21.08,-40.4,58.4,Yes
4.99,0.474,2.335,0.2279,0.2098,7.281,-57.7,47.7,No
5.04,1.3,6.5,0.7141,0.5782,30.034,-43.8,57.3,No
4.88,2.482,12.116,3.2474,3.6008,80.193,-28.2,76.6,Yes
4.988,1.386,6.79,1.8608,1.6279,91.543,-24.2,68.4,Yes
5.036,0.273,1.374,0.0962,0.2205,4.687,-77.9,45.4,No
4.918,1.808,8.861,1.7409,1.2934,57.609,-40.6,76.8,Yes
5.006,1.922,9.557,1.4098,1.395,72.739,-33.3,75.0,Yes
5.055,0.139,0.67,0.0948,0.0604,1.193,-77.6,35.3,No
5.04,0.034,0.187,0.055,0.0138,3.259,-96.1,39.2,No
5.047,0.307,1.549,0.2075,0.2125,6.086,-74.8,49.7,No
5.054,0.013,0.054,0.0826,0.0804,1.365,-78.3,37.7,No
5.021,0.875,4.461,0.6903,0.5667,28.135,-46.2,61.2,No
4.989,1.649,8.248,1.3207,2.0309,93.493,-39.9,64.1,Yes
5.057,0.068,0.334,0.1211,0.0211,2.126,-92.9,37.9,No
5.025,1.191,5.862,0.7523,0.7269,31.911,-47.8,65.7,No
5.007,0.579,2.853,0.5347,0.3749,15.713,-43.7,60.7,No
5.028,1.09,5.495,0.491,0.4707,39.386,-51.8,62.1,No
5.075,0.12,0.611,0.0607,0.0724,0.852,-97.6,30.0,No
5.036,0.143,0.706,0.0501,0.0379,2.167,-86.6,42.6,No
5.016,0.517,2.588,0.24,0.2317,7.448,-51.5,49.4,No
5.024,0.212,1.075,0.0982,0.0334,5.636,-76.5,41.7,No
4.89,2.073,10.249,2.2306,2.3261,134.305,-11.1,68.2,Yes
4.98,1.202,5.921,0.8229,0.7818,24.774,-42.8,59.6,No
4.947,1.789,8.782,3.1523,2.2762,141.4,-4.5,79.2,Yes
5.051,0.17,0.857,0.1229,0.0253,1.351,-83.2,32.7,No
5.038,0.927,4.722,0.7307,0.3569,19.019,-36.4,68.8,Yes
4.85,1.99,9.701,3.3812,3.3708,139.98,-23.7,93.4,Yes
5.035,1.109,5.559,0.4208,0.7844,23.714,-57.0,66.2,No
5.037,0.464,2.348,0.3088,0.2259,7.121,-63.0,47.2,No
5.023,0.163,0.873,0.2358,0.156,3.087,-78.1,39.6,No
4.896,1.974,9.671,2.0806,2.8103,115.295,-0.8,87.3,Yes
4.873,2.531,12.362,2.467,3.4729,105.943,-27.7,82.3,Yes
4.92,2.106,10.254,2.5297,4.5726,121.846,-16.8,73.1,Yes
4.99,1.093,5.551,0.4793,0.5237,33.466,-30.0,63.5,No
5.029,0.146,0.733,0.0998,0.0395,2.93,-86.8,37.1,No
4.981,2.401,11.95,2.288,2.0226,109.588,-14.1,79.4,Yes
4.983,1.483,7.368,1.5299,1.5656,65.26,-39.4,65.1,Yes
4.928,1.67,8.276,1.8332,3.4712,144.77,-21.0,86.2,Yes
5.01,0.394,1.979,0.0511,0.0979,2.638,-77.1,46.9,No
5.055,0.325,1.658,0.0823,0.1119,1.919,-71.9,45.0,No
4.882,3.084,15.025,3.3213,4.2845,88.585,-35.2,79.8,Yes
5.017,0.456,2.291,0.1249,0.097,2.116,-52.3,43.8,No
5.04,0.236,1.186,0.2087,0.1946,2.527,-76.9,41.2,No
5.04,1.187,6.128,0.5501,0.4642,24.109,-33.2,57.2,Yes
4.917,2.262,10.957,3.2216,2.7641,134.893,-19.2,84.8,Yes
4.99,0.542,2.635,0.2251,0.2247,7.416,-40.0,54.5,No
4.929,2.033,10.062,2.5503,3.256,145.951,-21.7,75.4,Yes
5.032,0.469,2.342,0.2366,0.1943,6.612,-65.8,46.2,No
4.923,1.684,8.287,2.2691,1.7757,87.127,-43.1,65.8,Yes
5.044,0.049,0.229,0.0486,0.0257,1.769,-85.2,33.4,No
5.028,0.258,1.265,0.1877,0.1903,4.205,-63.2,43.7,No
4.967,1.85,9.118,2.3047,1.8106,60.332,-40.5,73.9,Yes
5.036,0.157,0.806,0.0,0.0342,2.83,-91.9,30.0,No
5.031,1.088,5.54,0.7024,0.7177,38.208,-52.0,55.9,No
4.945,2.014,9.962,2.4606,1.1192,39.24,-38.1,69.4,Yes
5.039,0.162,0.821,0.0013,0.0251,1.029,-81.8,42.5,No
4.996,1.143,5.734,0.4439,0.4162,19.519,-53.7,59.2,No
5.018,0.154,0.769,0.0341,0.0221,1.828,-73.0,35.7,No
5.018,0.132,0.676,0.2647,0.2168,4.292,-75.7,38.3,No
4.989,1.61,8.077,1.3994,1.665,94.58,-23.6,72.6,Yes
5.045,0.102,0.513,0.0229,0.022,0.5,-88.4,40.8,No
4.898,2.394,11.73,2.2625,3.6478,80.323,-23.9,90.6,Yes
4.951,1.336,6.606,2.2935,2.1515,84.639,-47.7,69.9,Yes
5.053,0.073,0.387,0.0669,0.0105,2.03,-78.5,31.5,No
4.98,1.518,7.544,1.9322,1.5475,65.17,-31.0,67.5,Yes
5.036,0.429,2.19,0.1957,0.1762,1.913,-75.6,44.4,No
4.984,0.814,4.012,0.5232,0.3282,17.565,-42.9,67.0,Yes
5.021,0.493,2.458,0.2089,0.1975,7.816,-45.8,52.4,No
4.987,1.246,6.162,0.6378,0.7082,19.305,-65.0,67.0,Yes
4.942,1.921,9.443,3.1565,3.5307,115.83,-25.6,79.9,Yes
4.9,2.045,10.081,2.2901,3.8986,82.907,-14.1,89.3,Yes
5.014,0.309,1.542,0.0939,0.179,5.13,-74.2,48.6,No
5.033,0.175,0.909,0.2792,0.0558,1.524,-78.7,43.4,No
5.032,0.198,0.995,0.2451,0.0741,6.911,-60.2,39.9,No
4.866,2.454,11.985,2.9361,3.6883,129.399,-14.5,92.5,Yes
5.007,0.476,2.349,0.3284,0.1612,6.916,-49.3,55.0,No
